# Radial distribution function (50 data points):
# "Pair separation distance" 1-1 1-2 1-3 2-2 2-3 3-3
0.1 0.0 0.0 0.0 0.0 0.0 0.0 
0.3 0.0 0.0 0.0 0.0 0.0 0.0 
0.5 0.0 0.0 0.0 0.0 0.0 0.0 
0.7 0.0 0.0 0.0 0.0 0.0 0.0 
0.9 0.0 0.0 0.0 0.0 0.0 0.0 
1.1 0.0 0.0 0.0 0.0 0.0 0.0 
1.3 0.0 0.0 0.0 0.0 0.0 0.0 
1.5 0.0 0.0 0.0 0.0 0.0 0.0 
1.7 0.0 0.0 0.0 0.0 0.0 0.0 
1.9 0.0 16.7753477415 0.0 0.0 0.0 0.0 
2.1 0.0 0.0 0.0 0.0 0.0 0.0 
2.3 0.0 0.0 0.0 0.0 0.0 0.0 
2.5 0.0 0.0 0.0 4.8466089957 0.0161553633 0.0 
2.7 0.0 0.0 0.0 0.0 0.6464114293 0.0 
2.9 14.4092527352 0.0 0.0 7.2046263676 2.2254290335 0.0 
3.1 0.0 0.0 0.0 0.0 2.3808334942 0.0 
3.3 0.0 0.0 0.0020608909 0.0 1.0912417319 0.0 
3.5 0.0 4.9468109227 0.3206266339 0.0 0.1942081325 0.0 
3.7 0.0 0.0 2.2133005053 0.0 0.1606692219 0.0 
3.9 0.0 0.0 3.6006527544 1.9921644338 0.5828925566 0.0 
4.1 0.0 0.0 1.6703953848 0.0 1.0929005775 0.0 
4.3 0.0 0.0 0.2864920666 0.0 1.3159211872 0.0 
4.5 0.0 5.9856737827 0.6817017364 0.0 1.1106750241 0.0177353297 
4.7 0.0 0.0 1.6095694747 0.0 0.7864941751 0.1138079427 
4.9 0.0 0.0 1.7127296448 2.5242194547 1.3023102594 0.3889167752 
5.1 4.6602965022 0.0 1.1245122856 2.3301482511 2.4660735658 0.8354012989 
5.3 0.0 0.0 1.225851555 1.078813298 2.720207753 1.6110278584 
5.5 0.0 0.0 2.2321346764 0.0 1.5130726746 2.3271191307 
5.7 3.7309144341 0.0 2.414730731 1.865457217 0.3451095852 3.1671318085 
5.9 0.0 0.0 1.332940191 0.0 0.0809308147 2.5743092611 
6.1 0.0 3.8006490703 0.3667927992 0.8144248008 0.2747929606 1.7857017854 
6.3 0.0 0.0 0.1040677216 1.527080698 0.8175537589 0.7103753173 
6.5 0.0 0.0 0.340043747 0.0 1.4916762807 0.2125273419 
6.7 0.0 4.0505962916 0.9691426683 1.3501987639 1.7440067367 0.0960141343 
6.9 0.0 0.0 1.5281508915 0.6365330773 1.3947146982 0.3206240686 
7.1 2.2043247649 0.0 1.471776434 1.1021623825 1.2301913461 0.6982588346 
7.3 0.1895638078 2.2747656932 1.1125289252 0.0947819039 1.2966164451 1.0211170445 
7.5 0.0 0.0 0.9222899545 1.0775347803 1.1124548889 1.0727457368 
7.7 6.1337340741 0.0 0.9919989675 3.0668670371 0.8532326998 1.4145450927 
7.9 0.0 1.9423709626 1.1398839964 0.9711854813 0.4935061038 1.3265674278 
8.1 0.0 0.9238202069 1.1787261528 0.0 0.2422461876 1.1551174142 
8.3 3.5193491294 1.7596745647 0.7775154651 2.1629333191 0.2184929251 1.1079432445 
8.5 0.0 0.8389221698 0.3713007381 0.4544161753 0.5726420588 0.6562235639 
8.7 1.6015921219 0.8007960609 0.2565513306 0.8007960609 1.1294190371 0.3654002767 
8.9 0.0 1.5304222313 0.4565759657 0.8927463016 1.3701530143 0.4421219779 
9.1 0.0 1.4638928475 0.7034818406 0.7319464238 1.1712498236 0.7308620587 
9.3 2.8032182753 1.4016091376 0.9318105193 2.1024137065 0.9017018786 0.9904704573 
9.5 0.0 0.0 1.1176066127 0.6716086923 0.9967170481 1.2974484959 
9.7 1.2883999541 2.5767999081 1.1235324785 0.9662999656 1.1812718838 1.5422624635 
9.9 0.0 1.2368709667 0.9927034758 0.0 0.8865387179 1.6436640846 
