# Radial distribution function (50 data points):
# "Pair separation distance" 1-1 1-2 1-3 1-4 1-5 2-2 2-3 2-4 2-5 3-3 3-4 3-5 4-4 4-5 5-5
0.1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.3 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.7 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.9 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6.661984449 0.0 
1.1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 15.4013241921 0.0 
1.3 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0029652265 0.0 0.0 0.0 0.0 0.0 0.002358033 
1.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0141761038 
1.7 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.2464280873 0.0 0.0 0.0 0.0 0.1794061062 4.3085066423 
1.9 0.0 16.7753477415 0.0 0.0 0.0 0.0 0.0 0.0 0.660990204 0.0 0.0 0.0 0.0 0.5282167973 0.521586461 
2.1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.9875368881 0.0 0.0 0.1122545771 0.0036189751 0.8215073562 1.0341221455 
2.3 0.0 0.0 0.0 0.0 0.0069562073 0.0 0.1229941766 0.0037942949 0.6270072296 0.1017882841 4.6290397583 0.5286717538 0.0 1.4407759897 1.5071572918 
2.5 0.0 0.0 0.0035900807 0.0 0.0396122228 4.8466089957 1.2565282581 0.0021412012 0.6525310764 0.0287206459 8.1922359255 1.8649862758 0.0025541168 1.9813560932 1.9079252357 
