# Fix print output for fix output
1000000 -0.00222277    0.000708445 -0.00539223
1001000 0.000818791    0.00105737 -0.00185628
1002000 -0.00255768    0.000633932 0.00207838
1003000 0.00235694    0.00116439 0.000848169
1004000 0.00243177    0.000204385 -3.7803e-05
1005000 0.00201994    0.000986537 -0.00231233
1006000 0.000125261    0.000620399 -0.00162014
1007000 0.00236144    -0.000468318 0.00539562
1008000 0.000950841    7.34303e-05 0.00951839
1009000 -0.00111348    0.000349431 0.00329649
1010000 -0.00203937    -0.000397643 0.00419657
1011000 3.88472e-05    -0.00122444 0.00107117
1012000 0.00160899    5.12572e-05 -0.00210666
1013000 -5.10723e-05    -0.00016126 0.0014148
1014000 -0.00137418    0.001916 -0.0010755
1015000 0.00191402    0.000850401 0.000117768
1016000 -0.00377257    0.00142402 0.00254273
1017000 0.00100699    -0.0014918 -0.00059998
1018000 0.000986073    -0.00127856 1.26791e-05
1019000 -0.000508363    -0.000561265 -0.000665321
1020000 -0.00260201    0.000353834 -0.00153058
1021000 0.000624699    0.000642847 0.00314584
1022000 -0.00154247    0.000196874 0.000164148
1023000 0.00121996    -0.000221953 -0.00322436
1024000 0.000762798    -0.00136256 0.000756421
1025000 -0.000654797    -0.000914207 0.00134429
1026000 0.00253843    -0.000742674 -0.00204043
1027000 -0.000871165    -2.35602e-07 -0.000174941
1028000 0.00184015    -0.0015039 -0.00178257
1029000 -0.000344181    -0.000729082 0.00071272
1030000 -0.000749672    9.89102e-05 -0.00363685
1031000 0.00203214    -0.00148157 0.0011327
1032000 0.00505689    -0.00050173 -0.00135713
1033000 -0.00114127    9.56969e-05 -0.00435755
1034000 0.00265225    0.000481619 -0.000108285
1035000 0.00165394    -0.000686638 0.00202843
1036000 0.000856906    -0.000245144 0.000292087
1037000 -0.00163055    -0.00119172 -0.00116197
1038000 -2.21139e-05    -0.00051863 0.000508843
1039000 -0.00108928    -0.000175716 0.00161156
1040000 0.000248271    9.83987e-05 -0.000171819
1041000 -0.0017732    -0.00040811 9.40391e-05
1042000 0.000956848    -0.00042015 -0.000693487
1043000 -0.00219067    -0.000355064 0.000276737
1044000 0.000376588    0.000116025 -0.000680546
1045000 0.00138944    0.000859798 0.000530263
1046000 0.000196545    -0.000748976 -0.00176883
1047000 0.00659127    -1.00477e-05 0.00278631
1048000 -0.00251795    6.14774e-05 -0.00218568
1049000 -9.80719e-05    0.00076393 0.00410844
1050000 0.00329207    0.000455533 0.000238842
1051000 -0.000710373    -0.000313801 -0.00312759
1052000 0.000384532    -0.00152676 -9.14774e-05
1053000 0.000162433    -0.000497738 0.00482216
1054000 -0.0007463    -0.0016985 -0.000277284
1055000 -0.00170729    0.000434995 0.00257001
1056000 0.00327833    -0.000415696 0.00261964
1057000 0.000518409    0.001346 0.00266517
1058000 0.00128211    -4.99746e-06 0.00487671
1059000 0.00165683    0.000105369 -0.000153012
1060000 0.000769549    0.00108125 -0.00194436
1061000 0.00232441    -0.000441006 0.0171896
1062000 -0.000417482    -0.000198121 0.0129049
1063000 -0.00126353    0.00123779 0.0145846
1064000 3.69226e-05    0.000555227 -0.000126609
1065000 0.00127973    -0.00129744 0.0092631
1066000 -0.00123984    -0.00153213 0.0220419
1067000 0.00056483    -0.00101725 -0.000138449
1068000 0.000179243    -0.000817211 0.00680862
1069000 0.000434331    -0.00136263 0.0262412
1070000 -0.000889948    -0.000202228 0.00504689
