# 559 Particles
   Step          Time          v_magx         v_magy         v_magz       v_magnorm        v_tmag         v_emag         PotEng         TotEng    
         0   0              0.0071156057   0.00088930702  0.016821431    0.018286149    7283.7932      49.121825     -2014.1938     -2014.1938    
        50   0.005          0.0073512424   0.00030531363  0.016855913    0.018391731    5931.9455      49.018901     -2014.2967     -2014.2967    
       100   0.01           0.0074705697  -5.4115086e-05  0.016818819    0.018403397    5384.0852      48.956363     -2014.3592     -2014.3592    
       150   0.015          0.007867661    4.3810005e-05  0.017087273    0.018811616    4972.1073      48.901854     -2014.4137     -2014.4137    
       200   0.02           0.0079420792  -0.00015139093  0.017490961    0.019210238    4359.6905      48.81621      -2014.4994     -2014.4994    
       250   0.025          0.0077584872  -0.00014769799  0.017890261    0.019500702    3863.7946      48.730384     -2014.5852     -2014.5852    
       300   0.03           0.0080331496  -0.00070111021  0.017450208    0.019223237    3516.0758      48.652313     -2014.6633     -2014.6633    
       350   0.035          0.0079703475  -0.00098860345  0.017990449    0.019701777    3222.5559      48.560182     -2014.7554     -2014.7554    
       400   0.04           0.0075018452  -0.0004710112   0.017543365    0.019085838    2980.8719      48.464397     -2014.8512     -2014.8512    
       450   0.045          0.0076102365  -0.00058023436  0.017822079    0.019387596    2776.8859      48.376362     -2014.9392     -2014.9392    
       500   0.05           0.0068140439   1.3600901e-06  0.017753659    0.019016404    2633.303       48.303767     -2015.0118     -2015.0118    
       550   0.055          0.0066320551  -0.00059017934  0.018054029    0.019242672    2500.5667      48.22311      -2015.0925     -2015.0925    
       600   0.06           0.0053466662  -0.00051740523  0.019330753    0.020063214    2422.7329      48.137775     -2015.1778     -2015.1778    
       650   0.065          0.0059860552  -0.00049817953  0.019740206    0.020633874    2302.9622      48.010668     -2015.3049     -2015.3049    
       700   0.07           0.0051464628  -0.0010192669   0.019857923    0.020539282    2221.6009      47.912211     -2015.4034     -2015.4034    
       750   0.075          0.0053173681  -0.0020028983   0.021075774    0.02182829     2115.5772      47.809702     -2015.5059     -2015.5059    
       800   0.08           0.0066133618  -0.0023837483   0.021639494    0.022752725    2034.1668      47.730975     -2015.5846     -2015.5846    
       850   0.085          0.0055735125  -0.00166437     0.020778585    0.02157739     1949.2196      47.639347     -2015.6763     -2015.6763    
       900   0.09           0.0049986905  -0.00060708099  0.020974002    0.021569984    1829.3027      47.51676      -2015.7988     -2015.7988    
       950   0.095          0.0039924452  -0.0013677857   0.021435351    0.021846847    1746.944       47.441451     -2015.8741     -2015.8741    
      1000   0.1            0.0040383703  -0.0011493045   0.021593029    0.02199746     1660.0747      47.351021     -2015.9646     -2015.9646    
      1050   0.105          0.0040487957  -0.0020774781   0.021945818    0.022412665    1575.4576      47.240239     -2016.0754     -2016.0754    
      1100   0.11           0.0027428405  -0.0022302881   0.02169493     0.021981068    1500.1076      47.146725     -2016.1689     -2016.1689    
      1150   0.115          0.0017057228  -0.0024354861   0.022397339    0.022593846    1428.9432      47.072256     -2016.2433     -2016.2433    
      1200   0.12           0.0017688658  -0.0024622191   0.022435743    0.022639655    1351.9         46.958883     -2016.3567     -2016.3567    
      1250   0.125          0.00083414919 -0.0021329007   0.023172822    0.02328572     1318.182       46.878975     -2016.4366     -2016.4366    
      1300   0.13           0.0008134238  -0.0014690187   0.02287842     0.02293996     1298.5724      46.773215     -2016.5424     -2016.5424    
      1350   0.135         -0.00035245129 -0.0013845242   0.022959333    0.023003741    1313.2437      46.714927     -2016.6007     -2016.6007    
      1400   0.14          -0.0011197644  -0.0005229128   0.022773905    0.022807413    1294.5469      46.59812      -2016.7175     -2016.7175    
      1450   0.145         -0.0011053206  -0.00054656228  0.022275013    0.022309116    1266.9298      46.502838     -2016.8128     -2016.8128    
      1500   0.15          -0.0014178365  -0.00057602384  0.022375299    0.022427574    1221.6155      46.407121     -2016.9085     -2016.9085    
      1550   0.155         -0.0015593028   0.00015967905  0.02185351     0.021909651    1183.0291      46.332458     -2016.9831     -2016.9831    
      1600   0.16          -0.0024087645   0.00037717025  0.021859941    0.021995486    1148.8724      46.231809     -2017.0838     -2017.0838    
      1650   0.165         -0.0024205213  -0.00026216312  0.02243191     0.022563649    1129.6251      46.163519     -2017.1521     -2017.1521    
      1700   0.17          -0.0025015235   0.00046576167  0.022211094    0.022356369    1116.4598      46.056528     -2017.2591     -2017.2591    
      1750   0.175         -0.0020950036  -0.00032469215  0.022221379    0.022322279    1090.7662      45.934438     -2017.3812     -2017.3812    
      1800   0.18          -0.0014400855  -0.00051720134  0.021989346    0.02204252     1064.4819      45.841111     -2017.4745     -2017.4745    
      1850   0.185         -0.00075921775 -0.00070471249  0.021302935    0.021328105    1039.3465      45.737137     -2017.5785     -2017.5785    
      1900   0.19          -0.0013869683  -0.00049578637  0.021978323    0.022027623    1027.2414      45.661583     -2017.654      -2017.654     
      1950   0.195         -0.0012109671  -0.00071757047  0.021550788    0.021596709    1009.9526      45.557845     -2017.7578     -2017.7578    
