# 579 Particles
   Step          Time          v_magx         v_magy         v_magz       v_magnorm        v_tmag         v_emag         PotEng         TotEng    
         0   0             -0.0087925309   0.027781103    0.0012951202   0.029168058   -10036.971      53.500892     -2121.6297     -2121.6297    
        50   0.005         -0.0093788059   0.027661357    7.722198e-05   0.029208195   -12413.493      53.426323     -2121.7042     -2121.7042    
       100   0.01          -0.0091964336   0.02833681     0.00035743346  0.029793908   -17081.08       53.338179     -2121.7924     -2121.7924    
       150   0.015         -0.0093362971   0.029136029    0.00026315229  0.030596468   -26351.981      53.269122     -2121.8614     -2121.8614    
       200   0.02          -0.0096191353   0.028934532    0.0004346224   0.030494652   -60750.728      53.201792     -2121.9288     -2121.9288    
       250   0.025         -0.0091927994   0.029211825    0.0012091123   0.030648006    42964.205      53.075662     -2122.0549     -2122.0549    
       300   0.03          -0.0096885226   0.02898833     0.00052376981  0.030569021    18853.333      52.979197     -2122.1514     -2122.1514    
       350   0.035         -0.0097025556   0.029061129   -0.0010645291   0.030656517    13096.304      52.899345     -2122.2312     -2122.2312    
       400   0.04          -0.009482343    0.02885827    -0.0013955376   0.030408257    11117.463      52.854319     -2122.2762     -2122.2762    
       450   0.045         -0.0097097846   0.029278368   -0.001503493    0.030883057    8159.529       52.751178     -2122.3794     -2122.3794    
       500   0.05          -0.0097392341   0.029607284   -0.0011978254   0.031191004    6373.4486      52.647612     -2122.4829     -2122.4829    
       550   0.055         -0.010059699    0.029875471   -0.00088869772  0.031536187    5428.4221      52.557514     -2122.573      -2122.573     
       600   0.06          -0.0098860118   0.02941974    -0.00091618394  0.031049859    4734.2042      52.465091     -2122.6655     -2122.6655    
       650   0.065         -0.010096779    0.029835234   -0.0019034239   0.03155486     4199.1075      52.36724      -2122.7633     -2122.7633    
       700   0.07          -0.010167479    0.031387663   -0.0012760229   0.033018045    3832.0331      52.284919     -2122.8456     -2122.8456    
       750   0.075         -0.011097606    0.030557904   -0.001809377    0.032560961    3509.7521      52.194617     -2122.9359     -2122.9359    
       800   0.08          -0.011125556    0.03095183    -0.0027192025   0.033002846    3198.4173      52.091826     -2123.0387     -2123.0387    
       850   0.085         -0.011761627    0.031150512   -0.0025673364   0.03339583     2935.08        51.987407     -2123.1432     -2123.1432    
       900   0.09          -0.01099672     0.03106769    -0.0021944377   0.033029453    2722.6857      51.884032     -2123.2465     -2123.2465    
       950   0.095         -0.010685398    0.030784745   -0.0016807981   0.032629793    2540.2323      51.774052     -2123.3565     -2123.3565    
      1000   0.1           -0.01076639     0.031381669   -0.0014242842   0.033207724    2422.0759      51.682147     -2123.4484     -2123.4484    
      1050   0.105         -0.010420972    0.031624305   -0.0031502266   0.033445736    2330.0768      51.602321     -2123.5282     -2123.5282    
      1100   0.11          -0.01095064     0.031884244   -0.0036363803   0.033907887    2250.0559      51.527568     -2123.603      -2123.603     
      1150   0.115         -0.011164194    0.032150101   -0.0034393223   0.034206683    2159.8878      51.442131     -2123.6884     -2123.6884    
      1200   0.12          -0.01066003     0.032575763   -0.0030198427   0.034408371    2117.5499      51.380884     -2123.7497     -2123.7497    
      1250   0.125         -0.010601126    0.032361063   -0.0028089787   0.034168884    2063.5693      51.314707     -2123.8159     -2123.8159    
      1300   0.13          -0.010041314    0.031853561   -0.0018638294   0.033450728    1989.6441      51.213207     -2123.9174     -2123.9174    
      1350   0.135         -0.0094338295   0.031417751   -0.0020111509   0.032865133    1931.7045      51.112255     -2124.0183     -2124.0183    
      1400   0.14          -0.0097980947   0.032710288   -0.0024118268   0.034231309    1888.6554      51.013187     -2124.1174     -2124.1174    
      1450   0.145         -0.010455573    0.032528547   -0.0026964654   0.034273843    1836.5275      50.911381     -2124.2192     -2124.2192    
      1500   0.15          -0.010527557    0.032171787   -0.0024147728   0.033936476    1749.4101      50.798228     -2124.3323     -2124.3323    
      1550   0.155         -0.010326297    0.033098504   -0.0023581805   0.034752041    1682.3439      50.709049     -2124.4215     -2124.4215    
      1600   0.16          -0.01024626     0.033482213   -0.0020214607   0.03507322     1586.2273      50.580832     -2124.5497     -2124.5497    
      1650   0.165         -0.0099767293   0.033474148   -0.0015226873   0.034962441    1505.0036      50.474682     -2124.6559     -2124.6559    
      1700   0.17          -0.0097941421   0.033980326   -0.0025538599   0.035455746    1432.6282      50.381449     -2124.7491     -2124.7491    
      1750   0.175         -0.0097955408   0.033039692   -0.0028285752   0.034577083    1372.36        50.295696     -2124.8349     -2124.8349    
