# 561 Particles

   Step          Time          v_magx         v_magy         v_magz       v_magnorm        v_tmag         v_emag         PotEng         TotEng    
         0   0             -0.0042951049   0.05432583    -0.01734499     0.057189093    503941.11      52.043718     -2069.907      -2069.907     
        50   0.005         -0.0032147224   0.055278759   -0.017779179    0.058156468    42598.906      51.96274      -2069.9879     -2069.9879    
       100   0.01          -0.0033652651   0.05520529    -0.017913115    0.058136295    18637.592      51.849764     -2070.1009     -2070.1009    
       150   0.015         -0.0030955614   0.056778858   -0.01746807     0.059485752    11785.244      51.743512     -2070.2072     -2070.2072    
       200   0.02          -0.0021556029   0.057825757   -0.017057671    0.06032768     9741.242       51.682678     -2070.268      -2070.268     
       250   0.025         -0.0024149884   0.058210588   -0.017559759    0.060849403    7880.7113      51.589059     -2070.3616     -2070.3616    
       300   0.03          -0.0028427044   0.058144776   -0.018330822    0.061032081    6823.7402      51.51436      -2070.4363     -2070.4363    
       350   0.035         -0.0027063097   0.059031324   -0.018841181    0.062024281    6006.8746      51.434871     -2070.5158     -2070.5158    
       400   0.04          -0.0027251841   0.059710726   -0.018913685    0.062693899    5208.5114      51.330549     -2070.6201     -2070.6201    
       450   0.045         -0.0032999056   0.059317385   -0.018308235    0.062166172    4782.279       51.251447     -2070.6992     -2070.6992    
       500   0.05          -0.0024102684   0.059959965   -0.018272893    0.062728825    4163.0392      51.124409     -2070.8263     -2070.8263    
       550   0.055         -0.0023276708   0.06037495    -0.018291504    0.0631279      3593.9477      50.985589     -2070.9651     -2070.9651    
       600   0.06          -0.0010627663   0.06081858    -0.018849416    0.06368147     3258.0918      50.889336     -2071.0613     -2071.0613    
       650   0.065         -0.00052603985  0.060631212   -0.018155923    0.063293429    2961.1334      50.779546     -2071.1711     -2071.1711    
       700   0.07          -0.0011705685   0.060753221   -0.018230452    0.063440314    2743.335       50.703286     -2071.2474     -2071.2474    
       750   0.075         -0.00079474214  0.061406189   -0.017594958    0.06388219     2531.1735      50.608867     -2071.3418     -2071.3418    
       800   0.08          -0.00025893573  0.062808607   -0.017904891    0.065311357    2338.5256      50.496559     -2071.4541     -2071.4541    
